caldt,T-bill,Mkt Index,Your Portfolio
20110103,0,1.18,0.7
20110104,0,-0.26,-0.68
20110105,0,0.59,0.566
20110106,0,-0.15,-0.252
20110107,0,-0.21,0.18
20110110,0,-0.02,0.49
20110111,0,0.39,0.114
20110112,0,0.87,0.51
20110113,0,-0.17,0.238
20110114,0,0.69,0.276
20110118,0,0.18,0.216
20110119,0,-1.24,-0.994
20110120,0,-0.3,-1.482
20110121,0,0.11,-0.31
20110124,0,0.65,0.896
20110125,0,0.02,-0.13
20110126,0,0.6,1.476
20110127,0,0.26,0.104
20110128,0,-1.88,-1.958
20110131,0,0.71,1.262
20110201,0.001,1.751,1.745
20110202,0.001,-0.259,-0.031
20110203,0.001,0.261,0.363
20110204,0.001,0.291,0.681
20110207,0.001,0.701,0.479
20110208,0.001,0.481,0.547
20110209,0.001,-0.309,-0.279
20110210,0.001,0.121,0.757
20110211,0.001,0.671,0.641
20110214,0.001,0.301,0.697
20110215,0.001,-0.379,-0.733
20110216,0.001,0.681,0.585
20110217,0.001,0.371,0.323
20110218,0.001,0.121,-0.173
20110222,0.001,-2.189,-2.465
20110223,0.001,-0.779,-1.169
20110224,0.001,0.041,0.497
20110225,0.001,1.221,1.479
20110228,0.001,0.421,0.115
20110301,0,-1.58,-1.682
20110302,0,0.28,0.724
20110303,0,1.76,2.27
20110304,0,-0.67,-0.142
20110307,0,-0.96,-1.224
20110308,0,0.97,0.322
20110309,0,-0.17,-0.89
20110310,0,-1.93,-2.206
20110311,0,0.69,0.798
20110314,0,-0.59,-0.176
20110315,0,-1.05,-0.816
20110316,0,-1.77,-1.764
20110317,0,1.12,1.12
20110318,0,0.49,0.076
20110321,0,1.58,2.492
20110322,0,-0.34,-0.406
20110323,0,0.31,0.844
20110324,0,0.96,1.386
20110325,0,0.41,0.806
20110328,0,-0.35,-0.332
20110329,0,0.74,1.178
20110330,0,0.79,0.886
20110331,0,-0.11,0.196
20110401,0,0.52,0.376
20110404,0,0.09,0.246
20110405,0,0.08,0.164
20110406,0,0.21,-0.87
20110407,0,-0.2,-0.158
20110408,0,-0.47,-0.248
20110411,0,-0.39,-0.66
20110412,0,-0.84,-1.272
20110413,0,0.11,1.082
20110414,0,0,0.378
20110415,0,0.44,0.602
20110418,0,-1.15,-1.162
20110419,0,0.5,0.806
20110420,0,1.45,2.23
20110421,0,0.56,1.058
20110425,0,-0.16,-0.238
20110426,0,0.89,0.686
20110427,0,0.66,0.732
20110428,0,0.32,0.08
20110429,0,0.29,0.722
20110502,0,-0.28,-0.598
20110503,0,-0.5,-1.598
20110504,0,-0.74,-1.172
20110505,0,-0.82,-0.79
20110506,0,0.46,0.892
20110509,0,0.55,1.528
20110510,0,0.86,0.752
20110511,0,-1.09,-1.492
20110512,0,0.52,0.634
20110513,0,-0.88,-0.724
20110516,0,-0.76,-1.462
20110517,0,-0.11,-0.458
20110518,0,1.02,1.902
20110519,0,0.22,0.46
20110520,0,-0.73,-0.43
